state,district,year_month,pincode,bio_age_5_17,bio_age_17_
Gujarat,Anand,2025-08,74152135,740,897
Gujarat,Anand,2025-09,64446509,654,718
Gujarat,Anand,2025-10,59402624,530,646
Gujarat,Anand,2025-11,64835715,748,869
Gujarat,Anand,2025-12,70267671,714,906
Gujarat,Anand,NaT,829664515,7670,8762
Gujarat,Arvalli,2025-01,60945780,13483,7192
Gujarat,Arvalli,2025-02,18781983,299,178
Gujarat,Arvalli,2025-03,21465379,228,155
Gujarat,Arvalli,2025-04,21848691,239,158
Gujarat,Arvalli,2025-05,13799153,186,107
Gujarat,Arvalli,2025-06,19548776,137,85
Gujarat,Arvalli,2025-07,13032518,124,102
Gujarat,Arvalli,2025-08,22615523,269,202
Gujarat,Arvalli,2025-09,17248728,235,159
Gujarat,Arvalli,2025-10,18782275,226,123
Gujarat,Arvalli,2025-11,21082088,328,185
Gujarat,Arvalli,2025-12,22615374,265,159
Gujarat,Arvalli,NaT,266784376,3070,1775
Gujarat,Banas Kantha,2025-01,5395054,13,125
Gujarat,Banas Kantha,2025-02,2697302,2,21
Gujarat,Banas Kantha,2025-03,2697128,0,15
Gujarat,Banas Kantha,2025-04,5010770,2,23
Gujarat,Banas Kantha,2025-05,1926607,2,14
Gujarat,Banas Kantha,2025-06,3083012,1,13
Gujarat,Banas Kantha,2025-07,1926696,3,13
Gujarat,Banas Kantha,2025-08,2697453,3,6
Gujarat,Banas Kantha,2025-09,3083152,1,11
Gujarat,Banas Kantha,2025-10,3082887,0,14
Gujarat,Banas Kantha,2025-11,3468173,5,18
Gujarat,Banas Kantha,2025-12,5780338,1,26
Gujarat,Banas Kantha,NaT,43157322,26,189
Gujarat,Banaskantha,2025-01,86714817,48483,52089
Gujarat,Banaskantha,2025-02,30446295,1884,1591
Gujarat,Banaskantha,2025-03,31216944,1130,1064
Gujarat,Banaskantha,2025-04,33143462,1355,1327
Gujarat,Banaskantha,2025-05,23893709,1078,873
Gujarat,Banaskantha,2025-06,38154809,755,802
Gujarat,Banaskantha,2025-07,21196781,548,668
Gujarat,Banaskantha,2025-08,32373197,1052,1057
Gujarat,Banaskantha,2025-09,31217314,837,932
Gujarat,Banaskantha,2025-10,28904489,720,914
Gujarat,Banaskantha,2025-11,31216944,1279,1337
Gujarat,Banaskantha,2025-12,31216944,1182,1338
Gujarat,Banaskantha,NaT,428558484,13712,13750
Gujarat,Bharuch,2025-01,122084332,25366,27238
Gujarat,Bharuch,2025-02,41612042,809,567
Gujarat,Bharuch,2025-03,45152770,516,506
Gujarat,Bharuch,2025-04,49860074,498,495
Gujarat,Bharuch,2025-05,30224152,517,327
Gujarat,Bharuch,2025-06,45933936,366,315
Gujarat,Bharuch,2025-07,28656487,391,344
Gujarat,Bharuch,2025-08,50250921,692,627
Gujarat,Bharuch,2025-09,42796147,407,422
Gujarat,Bharuch,2025-10,39255476,416,393
Gujarat,Bharuch,2025-11,43578289,670,495
Gujarat,Bharuch,2025-12,42392106,750,603
Gujarat,Bharuch,NaT,559837434,6963,5685
Gujarat,Bhavnagar,2025-01,123866878,48203,55269
Gujarat,Bhavnagar,2025-02,43717402,1123,1058
Gujarat,Bhavnagar,2025-03,43715059,715,880
Gujarat,Bhavnagar,2025-04,48090049,803,969
Gujarat,Bhavnagar,2025-05,35338165,614,632
Gujarat,Bhavnagar,2025-06,50641602,692,760
Gujarat,Bhavnagar,2025-07,34971150,614,762
Gujarat,Bhavnagar,2025-08,51730330,1012,1288
Gujarat,Bhavnagar,2025-09,45172077,587,780
Gujarat,Bhavnagar,2025-10,44444828,680,845
Gujarat,Bhavnagar,2025-11,44811267,823,939
Gujarat,Bhavnagar,2025-12,45902453,892,1077
Gujarat,Bhavnagar,NaT,591263117,9026,10109
Gujarat,Botad,2025-01,37409376,7587,4338
Gujarat,Botad,2025-02,10786846,132,73
Gujarat,Botad,2025-03,10732510,90,67
Gujarat,Botad,2025-04,12626485,128,90
Gujarat,Botad,2025-05,8874948,77,58
Gujarat,Botad,2025-06,12609471,94,44
Gujarat,Botad,2025-07,7832523,90,61
Gujarat,Botad,2025-08,14066758,172,80
Gujarat,Botad,2025-09,12971455,109,53
Gujarat,Botad,2025-10,14064855,129,66
Gujarat,Botad,2025-11,12245780,156,81
Gujarat,Botad,2025-12,14101846,141,91
Gujarat,Botad,NaT,148756776,1451,798
Gujarat,Chhotaudepur,2025-01,45767766,14243,11260
Gujarat,Chhotaudepur,2025-02,14473165,199,183
Gujarat,Chhotaudepur,2025-03,16428983,211,192
Gujarat,Chhotaudepur,2025-04,17604228,145,183
Gujarat,Chhotaudepur,2025-05,12126288,109,117
Gujarat,Chhotaudepur,2025-06,17601825,143,145
Gujarat,Chhotaudepur,2025-07,8997821,121,109
Gujarat,Chhotaudepur,2025-08,17994162,254,229
Gujarat,Chhotaudepur,2025-09,16037777,180,207
Gujarat,Chhotaudepur,2025-10,15255480,218,207
Gujarat,Chhotaudepur,2025-11,16820659,235,179
Gujarat,Chhotaudepur,2025-12,17212466,239,217
Gujarat,Chhotaudepur,NaT,208099960,2306,1971
Gujarat,Dahod,2025-01,47092134,44823,38619
Gujarat,Dahod,2025-02,17124111,1024,1053
Gujarat,Dahod,2025-03,16735191,763,918
Gujarat,Dahod,2025-04,19459487,677,801
Gujarat,Dahod,2025-05,14788954,470,612
Gujarat,Dahod,2025-06,19459472,448,563
Gujarat,Dahod,2025-07,12064785,573,677
Gujarat,Dahod,2025-08,17902691,948,1040
Gujarat,Dahod,2025-09,16735203,581,587
Gujarat,Dahod,2025-10,15567442,745,672
Gujarat,Dahod,2025-11,17902631,844,784
Gujarat,Dahod,2025-12,17124351,914,897
Gujarat,Dahod,NaT,235459657,7426,8216
Gujarat,Devbhumi Dwarka,2025-01,42612572,12022,5723
Gujarat,Devbhumi Dwarka,2025-02,13722252,286,103
Gujarat,Devbhumi Dwarka,2025-03,15168267,225,89
Gujarat,Devbhumi Dwarka,2025-04,15530638,296,104
Gujarat,Devbhumi Dwarka,2025-05,10472275,238,69
Gujarat,Devbhumi Dwarka,2025-06,15529942,215,78
Gujarat,Devbhumi Dwarka,2025-07,10833577,138,47
Gujarat,Devbhumi Dwarka,2025-08,14085120,284,99
Gujarat,Devbhumi Dwarka,2025-09,15527039,265,110
Gujarat,Devbhumi Dwarka,2025-10,15167491,202,87
Gujarat,Devbhumi Dwarka,2025-11,15890222,405,110
Gujarat,Devbhumi Dwarka,2025-12,16612116,256,97
Gujarat,Devbhumi Dwarka,NaT,189974479,2985,931
Gujarat,Dohad,2025-01,28409647,1649,9146
Gujarat,Dohad,2025-02,14010313,26,287
Gujarat,Dohad,2025-03,15178272,23,198
Gujarat,Dohad,2025-04,14010652,13,208
Gujarat,Dohad,2025-05,10118576,16,173
Gujarat,Dohad,2025-06,12063961,22,127
Gujarat,Dohad,2025-07,7783344,21,165
Gujarat,Dohad,2025-08,15956408,39,264
Gujarat,Dohad,2025-09,12453687,26,173
Gujarat,Dohad,2025-10,14788697,27,204
Gujarat,Dohad,2025-11,12453429,29,206
Gujarat,Dohad,2025-12,13231738,28,227
Gujarat,Dohad,NaT,167734555,249,2170
Gujarat,Gandhinagar,2025-01,116233881,25817,31740
Gujarat,Gandhinagar,2025-02,40528529,557,639
Gujarat,Gandhinagar,2025-03,38623552,308,442
Gujarat,Gandhinagar,2025-04,37093426,348,491
Gujarat,Gandhinagar,2025-05,30972539,235,391
Gujarat,Gandhinagar,2025-06,40152695,241,327
Gujarat,Gandhinagar,2025-07,22943303,208,342
Gujarat,Gandhinagar,2025-08,47032507,449,666
Gujarat,Gandhinagar,2025-09,38622081,310,491
Gujarat,Gandhinagar,2025-10,37857473,295,435
Gujarat,Gandhinagar,2025-11,41674437,405,601
Gujarat,Gandhinagar,2025-12,44353080,403,618
Gujarat,Gandhinagar,NaT,491341356,4110,5695
Gujarat,Gir Somnath,2025-01,46388504,15234,9526
Gujarat,Gir Somnath,2025-02,15220675,457,138
Gujarat,Gir Somnath,2025-03,17395269,274,173
Gujarat,Gir Somnath,2025-04,19205957,366,163
Gujarat,Gir Somnath,2025-05,13047197,274,91
Gujarat,Gir Somnath,2025-06,19209069,219,154
Gujarat,Gir Somnath,2025-07,11959957,215,128
Gujarat,Gir Somnath,2025-08,19569905,374,174
Gujarat,Gir Somnath,2025-09,18119182,210,147
Gujarat,Gir Somnath,2025-10,16671451,237,118
Gujarat,Gir Somnath,2025-11,16671295,348,152
Gujarat,Gir Somnath,2025-12,17757834,383,160
Gujarat,Gir Somnath,NaT,229409297,5309,1742
Gujarat,Jamnagar,2025-01,132524337,29415,28953
Gujarat,Jamnagar,2025-02,46219154,798,586
Gujarat,Jamnagar,2025-03,44409385,487,462
Gujarat,Jamnagar,2025-04,46220745,477,476
Gujarat,Jamnagar,2025-05,30327334,456,351
Gujarat,Jamnagar,2025-06,50549634,397,419
Gujarat,Jamnagar,2025-07,29608402,364,382
Gujarat,Jamnagar,2025-08,53799036,544,672
Gujarat,Jamnagar,2025-09,40802939,350,413
Gujarat,Jamnagar,2025-10,41883221,421,483
Gujarat,Jamnagar,2025-11,44047545,528,533
Gujarat,Jamnagar,2025-12,46581316,548,581
Gujarat,Jamnagar,NaT,603328335,6105,5901
Gujarat,Junagadh,2025-01,137701540,22556,48404
Gujarat,Junagadh,2025-02,47830195,621,977
Gujarat,Junagadh,2025-03,52177545,405,910
Gujarat,Junagadh,2025-04,50732063,396,954
Gujarat,Junagadh,2025-05,39495360,375,690
Gujarat,Junagadh,2025-06,55797149,346,750
Gujarat,Junagadh,2025-07,33699604,306,691
Gujarat,Junagadh,2025-08,60510644,509,1205
Gujarat,Junagadh,2025-09,50369193,345,831
Gujarat,Junagadh,2025-10,52183691,377,859
Gujarat,Junagadh,2025-11,52543684,518,1004
Gujarat,Junagadh,2025-12,52535743,583,1021
Gujarat,Junagadh,NaT,665985180,6658,10381
Gujarat,Kachchh,2025-01,152231904,50700,40962
Gujarat,Kachchh,2025-02,49632851,924,744
Gujarat,Kachchh,2025-03,52223109,693,617
Gujarat,Kachchh,2025-04,57411890,835,793
Gujarat,Kachchh,2025-05,37408372,565,497
Gujarat,Kachchh,2025-06,55926931,652,503
Gujarat,Kachchh,2025-07,35556355,442,491
Gujarat,Kachchh,2025-08,54814890,802,574
Gujarat,Kachchh,2025-09,48889688,503,452
Gujarat,Kachchh,2025-10,52965649,648,718
Gujarat,Kachchh,2025-11,55929561,775,866
Gujarat,Kachchh,2025-12,55188494,936,928
Gujarat,Kachchh,NaT,709274449,8895,8446
Gujarat,Kheda,2025-01,158522283,36845,47243
Gujarat,Kheda,2025-02,55427232,724,1164
Gujarat,Kheda,2025-03,57749891,503,869
Gujarat,Kheda,2025-04,57751930,527,977
Gujarat,Kheda,2025-05,39532637,380,591
Gujarat,Kheda,2025-06,60849272,343,591
Gujarat,Kheda,2025-07,35271341,315,623
Gujarat,Kheda,2025-08,65503515,725,1093
Gujarat,Kheda,2025-09,54650195,508,853
Gujarat,Kheda,2025-10,57360628,566,929
Gujarat,Kheda,2025-11,57751580,771,1057
Gujarat,Kheda,2025-12,60466444,695,1028
Gujarat,Kheda,NaT,741459230,6833,10408
Gujarat,Mahesana,2025-01,138511975,31070,40218
Gujarat,Mahesana,2025-02,44119483,742,874
Gujarat,Mahesana,2025-03,50643107,456,677
Gujarat,Mahesana,2025-04,51033007,552,808
Gujarat,Mahesana,2025-05,35299488,412,602
Gujarat,Mahesana,2025-06,53342683,405,576
Gujarat,Mahesana,2025-07,30696735,307,542
Gujarat,Mahesana,2025-08,51409894,647,865
Gujarat,Mahesana,2025-09,47573178,420,663
Gujarat,Mahesana,2025-10,48725345,519,780
Gujarat,Mahesana,2025-11,48342911,599,799
Gujarat,Mahesana,2025-12,51027572,601,965
Gujarat,Mahesana,NaT,643827081,6224,8590
Gujarat,Mahisagar,2025-01,48231487,12400,8914
Gujarat,Mahisagar,2025-02,16727822,285,223
Gujarat,Mahisagar,2025-03,17892592,267,216
Gujarat,Mahisagar,2025-04,17114890,193,163
Gujarat,Mahisagar,2025-05,12836553,224,143
Gujarat,Mahisagar,2025-06,18668220,158,118
Gujarat,Mahisagar,2025-07,11668810,145,117
Gujarat,Mahisagar,2025-08,20614247,314,238
Gujarat,Mahisagar,2025-09,17890795,197,192
Gujarat,Mahisagar,2025-10,17502410,263,167
Gujarat,Mahisagar,2025-11,17502420,332,225
Gujarat,Mahisagar,2025-12,18281802,261,203
Gujarat,Mahisagar,NaT,224427173,3003,1991
Gujarat,Morbi,2025-01,29805262,16203,7720
Gujarat,Morbi,2025-02,10176572,291,123
Gujarat,Morbi,2025-03,10175694,225,123
Gujarat,Morbi,2025-04,10176620,266,159
Gujarat,Morbi,2025-05,7271706,144,80
Gujarat,Morbi,2025-06,10540821,184,134
Gujarat,Morbi,2025-07,6541934,156,93
Gujarat,Morbi,2025-08,10907242,225,103
Gujarat,Morbi,2025-09,10178129,188,94
Gujarat,Morbi,2025-10,9814184,190,86
Gujarat,Morbi,2025-11,10899332,249,148
Gujarat,Morbi,2025-12,10904202,277,130
Gujarat,Morbi,NaT,135229148,2842,1446
Gujarat,Narmada,2025-01,38492349,11718,17995
Gujarat,Narmada,2025-02,14139844,245,370
Gujarat,Narmada,2025-03,15317979,195,318
Gujarat,Narmada,2025-04,13353473,142,254
Gujarat,Narmada,2025-05,9426531,125,190
Gujarat,Narmada,2025-06,15317230,109,179
Gujarat,Narmada,2025-07,9033391,114,150
Gujarat,Narmada,2025-08,14530894,205,292
Gujarat,Narmada,2025-09,13748559,136,274
Gujarat,Narmada,2025-10,12959458,130,221
Gujarat,Narmada,2025-11,14138689,177,277
Gujarat,Narmada,2025-12,13746624,172,286
Gujarat,Narmada,NaT,192438563,1865,3059
Gujarat,Navsari,2025-01,110992799,15886,14732
Gujarat,Navsari,2025-02,36070318,608,354
Gujarat,Navsari,2025-03,36468424,362,322
Gujarat,Navsari,2025-04,42413922,460,379
Gujarat,Navsari,2025-05,25766458,328,244
Gujarat,Navsari,2025-06,34879092,202,158
Gujarat,Navsari,2025-07,22198063,224,279
Gujarat,Navsari,2025-08,41620915,421,354
Gujarat,Navsari,2025-09,36070451,365,299
Gujarat,Navsari,2025-10,39638319,288,297
Gujarat,Navsari,2025-11,40036518,337,309
Gujarat,Navsari,2025-12,38447500,402,293
Gujarat,Navsari,NaT,491916887,4285,3364
Gujarat,Panch Mahals,2025-01,4279994,2,19
Gujarat,Panch Mahals,2025-02,2723780,2,10
Gujarat,Panch Mahals,2025-03,3891517,3,15
Gujarat,Panch Mahals,2025-04,3114032,2,12
Gujarat,Panch Mahals,2025-05,1945927,0,7
Gujarat,Panch Mahals,2025-06,2723914,2,11
Gujarat,Panch Mahals,2025-07,3112454,1,12
Gujarat,Panch Mahals,2025-08,4279763,0,22
Gujarat,Panch Mahals,2025-09,3112826,0,12
Gujarat,Panch Mahals,2025-10,3891872,1,13
Gujarat,Panch Mahals,2025-11,2334803,0,12
Gujarat,Panch Mahals,2025-12,2334431,0,11
Gujarat,Panch Mahals,NaT,40857953,9,149
Gujarat,Panchmahals,2025-01,89513023,23998,43135
Gujarat,Panchmahals,2025-02,31914397,1043,1229
Gujarat,Panchmahals,2025-03,32691567,616,1101
Gujarat,Panchmahals,2025-04,33468411,665,1228
Gujarat,Panchmahals,2025-05,26074142,569,854
Gujarat,Panchmahals,2025-06,36583335,504,691
Gujarat,Panchmahals,2025-07,24129576,422,647
Gujarat,Panchmahals,2025-08,35804837,850,1342
Gujarat,Panchmahals,2025-09,30357578,575,883
Gujarat,Panchmahals,2025-10,34247872,624,909
Gujarat,Panchmahals,2025-11,33081234,794,1211
Gujarat,Panchmahals,2025-12,33469947,716,1119
Gujarat,Panchmahals,NaT,443274142,7813,11230
Gujarat,Patan,2025-01,68039980,24909,27202
Gujarat,Patan,2025-02,21913713,718,600
Gujarat,Patan,2025-03,24602010,447,484
Gujarat,Patan,2025-04,26524544,593,652
Gujarat,Patan,2025-05,17297315,461,366
Gujarat,Patan,2025-06,26140140,371,442
Gujarat,Patan,2025-07,14223379,268,316
Gujarat,Patan,2025-08,26524113,487,443
Gujarat,Patan,2025-09,21145097,340,509
Gujarat,Patan,2025-10,23065184,323,499
Gujarat,Patan,2025-11,24602140,512,598
Gujarat,Patan,2025-12,23833650,434,595
Gujarat,Patan,NaT,328672187,5272,6108
Gujarat,Porbandar,2025-01,38986986,11203,12787
Gujarat,Porbandar,2025-02,12272858,146,178
Gujarat,Porbandar,2025-03,14439855,114,168
Gujarat,Porbandar,2025-04,13354432,129,189
Gujarat,Porbandar,2025-05,9746932,88,104
Gujarat,Porbandar,2025-06,15161140,120,167
Gujarat,Porbandar,2025-07,8302542,100,138
Gujarat,Porbandar,2025-08,14800666,143,195
Gujarat,Porbandar,2025-09,12637255,116,185
Gujarat,Porbandar,2025-10,14439851,105,204
Gujarat,Porbandar,2025-11,14077160,138,197
Gujarat,Porbandar,2025-12,14077212,146,208
Gujarat,Porbandar,NaT,188784039,1709,2008
Gujarat,Rajkot,2025-01,144814975,58220,64816
Gujarat,Rajkot,2025-02,50207554,1247,1170
Gujarat,Rajkot,2025-03,52382920,1008,1107
Gujarat,Rajkot,2025-04,51658475,992,1126
Gujarat,Rajkot,2025-05,37561270,668,812
Gujarat,Rajkot,2025-06,52725643,756,838
Gujarat,Rajkot,2025-07,32863866,708,796
Gujarat,Rajkot,2025-08,54541389,1005,1186
Gujarat,Rajkot,2025-09,44059825,602,786
Gujarat,Rajkot,2025-10,52720073,960,1166
Gujarat,Rajkot,2025-11,50547835,1070,1239
Gujarat,Rajkot,2025-12,49826785,1188,1230
Gujarat,Rajkot,NaT,683548206,11098,12917
Gujarat,Sabar Kantha,2025-01,4982944,2,19
Gujarat,Sabar Kantha,2025-02,5366447,2,35
Gujarat,Sabar Kantha,2025-03,5366305,2,25
Gujarat,Sabar Kantha,2025-04,4599875,2,15
Gujarat,Sabar Kantha,2025-05,3833197,5,26
Gujarat,Sabar Kantha,2025-06,2683360,2,11
Gujarat,Sabar Kantha,2025-07,4982973,2,23
Gujarat,Sabar Kantha,2025-08,4216400,3,18
Gujarat,Sabar Kantha,2025-09,4983297,1,13
Gujarat,Sabar Kantha,2025-10,6132584,3,28
Gujarat,Sabar Kantha,2025-11,5366577,1,34
Gujarat,Sabar Kantha,2025-12,6516327,4,32
Gujarat,Sabar Kantha,NaT,60947681,30,279
Gujarat,Sabarkantha,2025-01,134915943,27599,36025
Gujarat,Sabarkantha,2025-02,44843937,491,955
Gujarat,Sabarkantha,2025-03,49827107,424,730
Gujarat,Sabarkantha,2025-04,48294483,377,837
Gujarat,Sabarkantha,2025-05,36028130,328,610
Gujarat,Sabarkantha,2025-06,54809883,239,475
Gujarat,Sabarkantha,2025-07,28362740,228,502
Gujarat,Sabarkantha,2025-08,53276737,473,953
Gujarat,Sabarkantha,2025-09,42160814,377,657
Gujarat,Sabarkantha,2025-10,50976642,459,769
Gujarat,Sabarkantha,2025-11,49443876,480,944
Gujarat,Sabarkantha,2025-12,46377966,450,845
Gujarat,Sabarkantha,NaT,639701683,5175,8985
Gujarat,Surat,2025-01,220122328,91604,101568
Gujarat,Surat,2025-02,78902562,2799,2160
Gujarat,Surat,2025-03,80871370,2037,2010
Gujarat,Surat,2025-04,77711208,2294,1935
Gujarat,Surat,2025-05,69824991,1890,1427
Gujarat,Surat,2025-06,79682052,1627,1336
Gujarat,Surat,2025-07,64698643,1965,1474
Gujarat,Surat,2025-08,93098714,2272,2100
Gujarat,Surat,2025-09,78895346,1516,1606
Gujarat,Surat,2025-10,82842397,2008,1953
Gujarat,Surat,2025-11,84028037,2001,1985
Gujarat,Surat,2025-12,78503366,2003,1832
Gujarat,Surat,NaT,1106159422,24812,21385
Gujarat,Surendra Nagar,2025-01,97536833,34646,37237
Gujarat,Surendra Nagar,2025-02,33862762,672,707
Gujarat,Surendra Nagar,2025-03,34914859,431,673
Gujarat,Surendra Nagar,2025-04,34913531,477,640
Gujarat,Surendra Nagar,2025-05,27856600,341,412
Gujarat,Surendra Nagar,2025-06,36410068,296,530
Gujarat,Surendra Nagar,2025-07,22390316,296,439
Gujarat,Surendra Nagar,2025-08,36770593,444,664
Gujarat,Surendra Nagar,2025-09,32027726,331,507
Gujarat,Surendra Nagar,2025-10,30843234,470,644
Gujarat,Surendra Nagar,2025-11,32795620,571,756
Gujarat,Surendra Nagar,2025-12,33847362,477,655
Gujarat,Surendra Nagar,NaT,463187533,5247,7148
Gujarat,Surendranagar,2025-01,4760966,1,21
Gujarat,Surendranagar,2025-02,6577489,0,29
Gujarat,Surendranagar,2025-03,6576797,4,21
Gujarat,Surendranagar,2025-04,4761340,1,18
Gujarat,Surendranagar,2025-05,3632182,0,19
Gujarat,Surendranagar,2025-06,5448165,6,19
Gujarat,Surendranagar,2025-07,3268735,0,16
Gujarat,Surendranagar,2025-08,6921132,1,29
Gujarat,Surendranagar,2025-09,3269435,0,21
Gujarat,Surendranagar,2025-10,5085014,3,25
Gujarat,Surendranagar,2025-11,3633293,1,23
Gujarat,Surendranagar,2025-12,5507816,1,21
Gujarat,Surendranagar,NaT,55329902,28,219
Gujarat,Tapi,2025-01,64302085,10525,16732
Gujarat,Tapi,2025-02,24064380,430,369
Gujarat,Tapi,2025-03,25643239,292,286
Gujarat,Tapi,2025-04,23670239,320,344
Gujarat,Tapi,2025-05,18541873,311,227
Gujarat,Tapi,2025-06,25642365,201,190
Gujarat,Tapi,2025-07,16961260,165,202
Gujarat,Tapi,2025-08,26036199,345,434
Gujarat,Tapi,2025-09,22092257,292,259
Gujarat,Tapi,2025-10,20513884,211,244
Gujarat,Tapi,2025-11,22486379,271,315
Gujarat,Tapi,2025-12,22092066,239,302
Gujarat,Tapi,NaT,306140949,3129,3390
Gujarat,The Dangs,2025-01,16578177,10058,11514
Gujarat,The Dangs,2025-02,5526053,213,252
Gujarat,The Dangs,2025-03,5920773,153,211
Gujarat,The Dangs,2025-04,5920783,158,232
Gujarat,The Dangs,2025-05,4341898,72,111
Gujarat,The Dangs,2025-06,5920758,73,95
Gujarat,The Dangs,2025-07,3947187,70,98
Gujarat,The Dangs,2025-08,6315503,127,195
Gujarat,The Dangs,2025-09,5920757,131,197
Gujarat,The Dangs,2025-10,5131338,103,141
Gujarat,The Dangs,2025-11,5920773,126,162
Gujarat,The Dangs,2025-12,5526057,145,205
Gujarat,The Dangs,NaT,77364735,1358,1750
Gujarat,Vadodara,2025-01,220881568,47685,92462
Gujarat,Vadodara,2025-02,81309478,1412,2085
Gujarat,Vadodara,2025-03,87964702,925,1736
Gujarat,Vadodara,2025-04,80525734,972,1615
Gujarat,Vadodara,2025-05,59419383,685,1066
Gujarat,Vadodara,2025-06,84824545,797,1043
Gujarat,Vadodara,2025-07,66448136,679,1240
Gujarat,Vadodara,2025-08,92264680,1056,1994
Gujarat,Vadodara,2025-09,77402645,752,1333
Gujarat,Vadodara,2025-10,82100488,1049,1615
Gujarat,Vadodara,2025-11,82488875,1179,1742
Gujarat,Vadodara,2025-12,82105493,1234,1840
Gujarat,Vadodara,NaT,1125886588,14294,18927
Gujarat,Valsad,2025-01,102202599,26684,31588
Gujarat,Valsad,2025-02,38029129,927,788
Gujarat,Valsad,2025-03,38425369,625,631
Gujarat,Valsad,2025-04,38424931,640,578
Gujarat,Valsad,2025-05,30502129,443,403
Gujarat,Valsad,2025-06,38821253,377,336
Gujarat,Valsad,2025-07,25748835,395,381
Gujarat,Valsad,2025-08,38821020,615,579
Gujarat,Valsad,2025-09,34464057,428,446
Gujarat,Valsad,2025-10,39216164,534,561
Gujarat,Valsad,2025-11,38028637,622,666
Gujarat,Valsad,2025-12,38425075,633,606
Gujarat,Valsad,NaT,509031107,6844,6694
Haryana,Akhera,2025-05,122107,0,1
Haryana,Ambala,2025-01,19883038,17634,31992
Haryana,Ambala,2025-02,7739166,457,630
Haryana,Ambala,2025-03,7338792,353,595
Haryana,Ambala,2025-04,6141304,204,322
Haryana,Ambala,2025-05,7341053,315,540
Haryana,Ambala,2025-06,8141877,435,779
Haryana,Ambala,2025-07,5069961,159,385
Haryana,Ambala,2025-08,7205838,355,610
Haryana,Ambala,2025-09,6937728,368,633
Haryana,Ambala,2025-10,7738095,391,634
Haryana,Ambala,2025-11,7874112,427,756
Haryana,Ambala,2025-12,7071638,449,758
Haryana,Ambala,NaT,104095906,5044,7531
Haryana,Bhiwani,2025-01,25674468,23557,40504
Haryana,Bhiwani,2025-02,9405538,579,717
Haryana,Bhiwani,2025-03,10549711,637,902
Haryana,Bhiwani,2025-04,9659678,436,521
Haryana,Bhiwani,2025-05,8642999,514,590
Haryana,Bhiwani,2025-06,10295366,673,884
Haryana,Bhiwani,2025-07,6990172,305,400
Haryana,Bhiwani,2025-08,9786807,505,645
Haryana,Bhiwani,2025-09,10294165,644,891
Haryana,Bhiwani,2025-10,10040528,591,794
Haryana,Bhiwani,2025-11,9913917,749,874
Haryana,Bhiwani,2025-12,9024461,598,649
Haryana,Bhiwani,NaT,137015182,8077,9389
Haryana,Charkhi Dadri,2025-01,9030527,1731,4831
Haryana,Charkhi Dadri,2025-02,3688039,68,81
Haryana,Charkhi Dadri,2025-03,4324027,76,120
Haryana,Charkhi Dadri,2025-04,3179931,32,68
Haryana,Charkhi Dadri,2025-05,3179920,37,51
Haryana,Charkhi Dadri,2025-06,3688054,40,74
Haryana,Charkhi Dadri,2025-07,2670963,30,54
Haryana,Charkhi Dadri,2025-08,3815627,60,89
Haryana,Charkhi Dadri,2025-09,4069942,68,97
Haryana,Charkhi Dadri,2025-10,3688581,41,85
Haryana,Charkhi Dadri,2025-11,4069682,64,92
Haryana,Charkhi Dadri,2025-12,3433970,42,78
Haryana,Charkhi Dadri,NaT,48838958,734,1045
Haryana,Faridabad,2025-01,13191340,33679,40198
Haryana,Faridabad,2025-02,4961837,1380,1030
Haryana,Faridabad,2025-03,5204049,1103,956
Haryana,Faridabad,2025-04,4356701,893,673
Haryana,Faridabad,2025-05,4598722,837,702
Haryana,Faridabad,2025-06,5809283,1110,828
Haryana,Faridabad,2025-07,4598718,635,484
Haryana,Faridabad,2025-08,4961848,846,793
Haryana,Faridabad,2025-09,5567364,1257,972
Haryana,Faridabad,2025-10,5567176,1154,930
Haryana,Faridabad,2025-11,5567274,1240,1026
Haryana,Faridabad,2025-12,5082851,1170,981
Haryana,Faridabad,NaT,75154258,13672,10402
Haryana,Fatehabad,2025-01,10757396,18632,25815
Haryana,Fatehabad,2025-02,3627389,382,368
Haryana,Fatehabad,2025-03,4628101,532,655
Haryana,Fatehabad,2025-04,4377877,404,566
Haryana,Fatehabad,2025-05,3502345,295,386
Haryana,Fatehabad,2025-06,4502984,410,485
Haryana,Fatehabad,2025-07,2626776,234,304
Haryana,Fatehabad,2025-08,4503039,400,590
Haryana,Fatehabad,2025-09,3502523,324,482
Haryana,Fatehabad,2025-10,4002788,382,554
Haryana,Fatehabad,2025-11,4377936,539,633
Haryana,Fatehabad,2025-12,4127751,561,770
Haryana,Fatehabad,NaT,61416462,6769,8322
Haryana,Gurgaon,2025-01,22235640,19950,24153
Haryana,Gurgaon,2025-02,9284905,734,508
Haryana,Gurgaon,2025-03,9895410,608,562
Haryana,Gurgaon,2025-04,9284978,377,318
Haryana,Gurgaon,2025-05,8555057,468,398
Haryana,Gurgaon,2025-06,9896171,677,485
Haryana,Gurgaon,2025-07,7939895,352,332
Haryana,Gurgaon,2025-08,8797483,444,425
Haryana,Gurgaon,2025-09,9409058,624,486
Haryana,Gurgaon,2025-10,9407722,678,470
Haryana,Gurgaon,2025-11,9408038,670,576
Haryana,Gurgaon,2025-12,9039644,767,537
Haryana,Gurgaon,NaT,127919013,8896,6296
Haryana,Hisar,2025-01,17133398,32770,41970
Haryana,Hisar,2025-02,6129222,830,908
