state,district,year_month,pincode,demo_age_5_17,demo_age_17_
Haryana,Sonipat,2025-01,14165314,4907,32481
Haryana,Sonipat,2025-02,8394701,107,777
Haryana,Sonipat,2025-03,9314133,106,729
Haryana,Sonipat,2025-04,8527556,110,804
Haryana,Sonipat,2025-05,7082035,100,676
Haryana,Sonipat,2025-06,8262971,138,921
Haryana,Sonipat,2025-07,6558476,52,332
Haryana,Sonipat,2025-08,9575176,128,884
Haryana,Sonipat,2025-09,7999691,143,810
Haryana,Sonipat,2025-10,8657777,134,774
Haryana,Sonipat,2025-11,7738840,102,759
Haryana,Sonipat,2025-12,8526767,136,1008
Haryana,Sonipat,NaT,136289053,1585,11961
Haryana,Yamuna Nagar,2025-01,11024138,3944,27014
Haryana,Yamuna Nagar,2025-02,5246587,96,647
Haryana,Yamuna Nagar,2025-03,5790752,136,973
Haryana,Yamuna Nagar,2025-04,5649969,97,848
Haryana,Yamuna Nagar,2025-05,5240767,106,722
Haryana,Yamuna Nagar,2025-06,5644029,120,845
Haryana,Yamuna Nagar,2025-07,4437872,79,693
Haryana,Yamuna Nagar,2025-08,6995005,111,1070
Haryana,Yamuna Nagar,2025-09,4301119,87,495
Haryana,Yamuna Nagar,2025-10,5647919,121,772
Haryana,Yamuna Nagar,2025-11,5642457,86,707
Haryana,Yamuna Nagar,2025-12,5645977,113,855
Haryana,Yamuna Nagar,NaT,91583806,1325,10819
Haryana,Yamunanagar,2025-01,540005,2,7
Haryana,Yamunanagar,2025-02,538207,0,7
Haryana,Yamunanagar,2025-03,1350041,1,17
Haryana,Yamunanagar,2025-04,945242,1,16
Haryana,Yamunanagar,2025-05,1080147,1,18
Haryana,Yamunanagar,2025-06,675137,1,20
Haryana,Yamunanagar,2025-07,810109,1,12
Haryana,Yamunanagar,2025-08,1215144,4,24
Haryana,Yamunanagar,2025-09,1080015,3,16
Haryana,Yamunanagar,2025-10,675007,0,19
Haryana,Yamunanagar,2025-11,675008,0,18
Haryana,Yamunanagar,2025-12,1080053,1,16
Haryana,Yamunanagar,NaT,12285853,12,211
Himachal Pradesh,Bilaspur,2025-01,10789923,251,1545
Himachal Pradesh,Bilaspur,2025-02,9223943,23,138
Himachal Pradesh,Bilaspur,2025-03,10964590,35,150
Himachal Pradesh,Bilaspur,2025-04,12878939,23,231
Himachal Pradesh,Bilaspur,2025-05,9745687,22,160
Himachal Pradesh,Bilaspur,2025-06,11487078,35,236
Himachal Pradesh,Bilaspur,2025-07,7483830,19,95
Himachal Pradesh,Bilaspur,2025-08,13749430,41,237
Himachal Pradesh,Bilaspur,2025-09,9572140,29,184
Himachal Pradesh,Bilaspur,2025-10,12704857,25,211
Himachal Pradesh,Bilaspur,2025-11,10267949,25,190
Himachal Pradesh,Bilaspur,2025-12,10793814,33,163
Himachal Pradesh,Bilaspur,NaT,161333754,371,2288
Himachal Pradesh,Chamba,2025-01,13751778,1120,4591
Himachal Pradesh,Chamba,2025-02,9696899,99,166
Himachal Pradesh,Chamba,2025-03,10402021,122,281
Himachal Pradesh,Chamba,2025-04,12165161,121,410
Himachal Pradesh,Chamba,2025-05,8639127,49,360
Himachal Pradesh,Chamba,2025-06,11283682,98,470
Himachal Pradesh,Chamba,2025-07,10049528,84,251
Himachal Pradesh,Chamba,2025-08,13399506,98,582
Himachal Pradesh,Chamba,2025-09,9873220,73,503
Himachal Pradesh,Chamba,2025-10,12517928,107,701
Himachal Pradesh,Chamba,2025-11,10754871,90,510
Himachal Pradesh,Chamba,2025-12,12694158,106,555
Himachal Pradesh,Chamba,NaT,192704737,1187,6924
Himachal Pradesh,Hamirpur,2025-01,15881225,161,1250
Himachal Pradesh,Hamirpur,2025-02,15344717,38,179
Himachal Pradesh,Hamirpur,2025-03,18176583,42,211
Himachal Pradesh,Hamirpur,2025-04,19417078,26,240
Himachal Pradesh,Hamirpur,2025-05,13406449,22,125
Himachal Pradesh,Hamirpur,2025-06,20454290,34,262
Himachal Pradesh,Hamirpur,2025-07,9700378,20,84
Himachal Pradesh,Hamirpur,2025-08,25038180,32,321
Himachal Pradesh,Hamirpur,2025-09,15525625,34,190
Himachal Pradesh,Hamirpur,2025-10,18346985,37,268
Himachal Pradesh,Hamirpur,2025-11,15880358,23,191
Himachal Pradesh,Hamirpur,2025-12,19390883,40,222
Himachal Pradesh,Hamirpur,NaT,252553267,374,2894
Himachal Pradesh,Kangra,2025-01,46001463,1089,8681
Himachal Pradesh,Kangra,2025-02,40895705,85,720
Himachal Pradesh,Kangra,2025-03,45118831,118,920
Himachal Pradesh,Kangra,2025-04,45294833,103,890
Himachal Pradesh,Kangra,2025-05,37003555,73,750
Himachal Pradesh,Kangra,2025-06,53753110,149,975
Himachal Pradesh,Kangra,2025-07,28374462,77,398
Himachal Pradesh,Kangra,2025-08,57453626,134,1245
Himachal Pradesh,Kangra,2025-09,35953459,82,867
Himachal Pradesh,Kangra,2025-10,48997991,87,1074
Himachal Pradesh,Kangra,2025-11,44059471,111,907
Himachal Pradesh,Kangra,2025-12,51461992,157,1230
Himachal Pradesh,Kangra,NaT,667452153,1428,11777
Himachal Pradesh,Kinnaur,2025-01,4819016,5,45
Himachal Pradesh,Kinnaur,2025-02,2753730,7,26
Himachal Pradesh,Kinnaur,2025-03,2237392,3,18
Himachal Pradesh,Kinnaur,2025-04,3097979,4,26
Himachal Pradesh,Kinnaur,2025-05,4302744,3,44
Himachal Pradesh,Kinnaur,2025-06,5679585,18,50
Himachal Pradesh,Kinnaur,2025-07,2753724,5,22
Himachal Pradesh,Kinnaur,2025-08,5679586,6,80
Himachal Pradesh,Kinnaur,2025-09,3614289,2,43
Himachal Pradesh,Kinnaur,2025-10,3958491,3,58
Himachal Pradesh,Kinnaur,2025-11,3442192,3,34
Himachal Pradesh,Kinnaur,2025-12,4646962,11,54
Himachal Pradesh,Kinnaur,NaT,60582298,71,528
Himachal Pradesh,Kullu,2025-01,12746616,296,1633
Himachal Pradesh,Kullu,2025-02,8543956,23,132
Himachal Pradesh,Kullu,2025-03,9400899,40,148
Himachal Pradesh,Kullu,2025-04,10279853,22,169
Himachal Pradesh,Kullu,2025-05,10448588,25,151
Himachal Pradesh,Kullu,2025-06,14273272,68,351
Himachal Pradesh,Kullu,2025-07,6798979,16,96
Himachal Pradesh,Kullu,2025-08,14092443,48,397
Himachal Pradesh,Kullu,2025-09,10977078,43,239
Himachal Pradesh,Kullu,2025-10,12362820,30,372
Himachal Pradesh,Kullu,2025-11,11330571,42,292
Himachal Pradesh,Kullu,2025-12,15164479,53,377
Himachal Pradesh,Kullu,NaT,182970944,505,4034
Himachal Pradesh,Lahaul And Spiti,2025-02,175140,1,0
Himachal Pradesh,Lahaul And Spiti,2025-03,350271,0,2
Himachal Pradesh,Lahaul And Spiti,2025-04,694506,2,2
Himachal Pradesh,Lahaul And Spiti,2025-05,175142,1,0
Himachal Pradesh,Lahaul And Spiti,2025-06,522392,0,3
Himachal Pradesh,Lahaul And Spiti,2025-07,866620,0,8
Himachal Pradesh,Lahaul And Spiti,2025-08,1035707,4,3
Himachal Pradesh,Lahaul And Spiti,2025-09,175132,0,1
Himachal Pradesh,Lahaul And Spiti,2025-10,344222,2,0
Himachal Pradesh,Lahaul And Spiti,2025-11,347253,0,2
Himachal Pradesh,Lahaul And Spiti,2025-12,350274,0,2
Himachal Pradesh,Lahaul And Spiti,NaT,3843957,5,21
Himachal Pradesh,Lahul & Spiti,2025-01,1395067,0,12
Himachal Pradesh,Lahul & Spiti,2025-02,519362,1,5
Himachal Pradesh,Lahul & Spiti,2025-03,516348,0,9
Himachal Pradesh,Lahul & Spiti,2025-04,872656,0,5
Himachal Pradesh,Lahul & Spiti,2025-05,694494,0,4
Himachal Pradesh,Lahul & Spiti,2025-06,1050847,1,5
Himachal Pradesh,Lahul & Spiti,2025-07,344227,0,6
Himachal Pradesh,Lahul & Spiti,2025-08,1914394,0,23
Himachal Pradesh,Lahul & Spiti,2025-09,1044780,0,10
Himachal Pradesh,Lahul & Spiti,2025-10,1564142,2,9
Himachal Pradesh,Lahul & Spiti,2025-11,1392039,0,15
Himachal Pradesh,Lahul & Spiti,2025-12,1748243,0,13
Himachal Pradesh,Lahul & Spiti,NaT,19835696,2,155
Himachal Pradesh,Lahul And Spiti,2025-01,1041765,1,5
Himachal Pradesh,Lahul And Spiti,2025-02,691493,1,3
Himachal Pradesh,Lahul And Spiti,2025-03,866632,6,11
Himachal Pradesh,Lahul And Spiti,2025-04,172114,2,0
Himachal Pradesh,Lahul And Spiti,2025-05,866631,4,1
Himachal Pradesh,Lahul And Spiti,2025-06,866625,0,7
Himachal Pradesh,Lahul And Spiti,2025-07,347259,1,1
Himachal Pradesh,Lahul And Spiti,2025-08,1398058,3,5
Himachal Pradesh,Lahul And Spiti,2025-09,1038730,4,5
Himachal Pradesh,Lahul And Spiti,2025-10,1219912,2,6
Himachal Pradesh,Lahul And Spiti,2025-11,2083533,5,9
Himachal Pradesh,Lahul And Spiti,2025-12,1041755,0,8
Himachal Pradesh,Lahul And Spiti,NaT,18107415,41,102
Himachal Pradesh,Mandi,2025-01,25021510,770,3768
Himachal Pradesh,Mandi,2025-02,21687606,45,384
Himachal Pradesh,Mandi,2025-03,21881671,71,342
Himachal Pradesh,Mandi,2025-04,25886703,57,477
Himachal Pradesh,Mandi,2025-05,20285633,45,289
Himachal Pradesh,Mandi,2025-06,27288400,83,414
Himachal Pradesh,Mandi,2025-07,13290715,33,164
Himachal Pradesh,Mandi,2025-08,32720778,43,744
Himachal Pradesh,Mandi,2025-09,17669496,33,384
Himachal Pradesh,Mandi,2025-10,25529156,59,560
Himachal Pradesh,Mandi,2025-11,21870545,62,317
Himachal Pradesh,Mandi,2025-12,29559516,91,504
Himachal Pradesh,Mandi,NaT,369622677,897,5669
Himachal Pradesh,Shimla,2025-01,21765139,429,3109
Himachal Pradesh,Shimla,2025-02,23133955,58,293
Himachal Pradesh,Shimla,2025-03,20392668,59,300
Himachal Pradesh,Shimla,2025-04,25878756,39,372
Himachal Pradesh,Shimla,2025-05,19182958,40,308
Himachal Pradesh,Shimla,2025-06,22971236,95,422
Himachal Pradesh,Shimla,2025-07,11995545,35,152
Himachal Pradesh,Shimla,2025-08,26904072,54,580
Himachal Pradesh,Shimla,2025-09,19191853,62,460
Himachal Pradesh,Shimla,2025-10,27417896,38,719
Himachal Pradesh,Shimla,2025-11,21598943,52,525
Himachal Pradesh,Shimla,2025-12,26226943,48,600
Himachal Pradesh,Shimla,NaT,346838291,832,6061
Himachal Pradesh,Sirmaur,2025-01,8304306,1410,8980
Himachal Pradesh,Sirmaur,2025-02,5364636,43,167
Himachal Pradesh,Sirmaur,2025-03,7264375,54,261
Himachal Pradesh,Sirmaur,2025-04,6576585,48,248
Himachal Pradesh,Sirmaur,2025-05,6576001,48,274
Himachal Pradesh,Sirmaur,2025-06,8300197,57,293
Himachal Pradesh,Sirmaur,2025-07,4497552,30,92
Himachal Pradesh,Sirmaur,2025-08,8649001,40,409
Himachal Pradesh,Sirmaur,2025-09,5883930,43,322
Himachal Pradesh,Sirmaur,2025-10,7437884,54,365
Himachal Pradesh,Sirmaur,2025-11,7093930,50,325
Himachal Pradesh,Sirmaur,2025-12,8818253,59,511
Himachal Pradesh,Sirmaur,NaT,119520891,698,4537
Himachal Pradesh,Solan,2025-01,8837678,284,1747
Himachal Pradesh,Solan,2025-02,9870006,30,213
Himachal Pradesh,Solan,2025-03,7798433,50,184
Himachal Pradesh,Solan,2025-04,11262355,39,261
Himachal Pradesh,Solan,2025-05,8318048,37,227
Himachal Pradesh,Solan,2025-06,11440374,67,300
Himachal Pradesh,Solan,2025-07,5368108,13,77
Himachal Pradesh,Solan,2025-08,13858887,61,341
Himachal Pradesh,Solan,2025-09,9527880,32,276
Himachal Pradesh,Solan,2025-10,12473673,44,354
Himachal Pradesh,Solan,2025-11,9178047,29,219
Himachal Pradesh,Solan,2025-12,12989489,51,312
Himachal Pradesh,Solan,NaT,162000299,523,3212
Himachal Pradesh,Una,2025-01,12656084,258,1723
Himachal Pradesh,Una,2025-02,12143547,30,368
Himachal Pradesh,Una,2025-03,14600956,31,371
Himachal Pradesh,Una,2025-04,14961292,25,334
Himachal Pradesh,Una,2025-05,9678338,31,279
Himachal Pradesh,Una,2025-06,16022137,44,310
Himachal Pradesh,Una,2025-07,7566941,23,68
Himachal Pradesh,Una,2025-08,16719682,40,454
Himachal Pradesh,Una,2025-09,13015348,39,352
Himachal Pradesh,Una,2025-10,15655044,46,358
Himachal Pradesh,Una,2025-11,11424869,45,261
Himachal Pradesh,Una,2025-12,15496704,46,239
Himachal Pradesh,Una,NaT,207986948,437,3349
Jaipur,Near Meera Hospital,NaT,604032,0,2
Jammu & Kashmir,Anantnag,2025-05,192125,0,1
Jammu & Kashmir,Anantnag,2025-08,384404,0,2
Jammu & Kashmir,Anantnag,2025-10,384250,0,2
Jammu & Kashmir,Anantnag,2025-12,384202,0,2
Jammu & Kashmir,Anantnag,NaT,768671,0,4
Jammu & Kashmir,Badgam,2025-03,380028,0,2
Jammu & Kashmir,Badgam,2025-09,193411,0,1
Jammu & Kashmir,Badgam,NaT,380030,0,2
Jammu & Kashmir,Baramula,2025-01,773208,0,4
Jammu & Kashmir,Baramula,2025-02,772704,1,3
Jammu & Kashmir,Baramula,2025-03,386206,2,0
Jammu & Kashmir,Baramula,2025-04,965605,0,8
Jammu & Kashmir,Baramula,2025-05,386223,1,2
Jammu & Kashmir,Baramula,2025-06,965526,2,7
Jammu & Kashmir,Baramula,2025-07,193122,0,1
Jammu & Kashmir,Baramula,2025-08,1158606,0,10
Jammu & Kashmir,Baramula,2025-09,193101,2,0
Jammu & Kashmir,Baramula,2025-10,193101,0,2
Jammu & Kashmir,Baramula,2025-11,386402,1,2
Jammu & Kashmir,Baramula,2025-12,193101,0,2
Jammu & Kashmir,Baramula,NaT,7725089,1,54
Jammu & Kashmir,Doda,2025-03,182221,0,1
Jammu & Kashmir,Doda,NaT,728812,0,4
Jammu & Kashmir,Jammu,2025-01,540009,0,4
Jammu & Kashmir,Jammu,2025-02,1083471,0,6
Jammu & Kashmir,Jammu,2025-03,726429,0,5
Jammu & Kashmir,Jammu,2025-04,2703561,0,18
Jammu & Kashmir,Jammu,2025-05,1091654,1,5
Jammu & Kashmir,Jammu,2025-06,1083380,0,7
Jammu & Kashmir,Jammu,2025-07,544127,0,3
Jammu & Kashmir,Jammu,2025-08,903473,0,5
Jammu & Kashmir,Jammu,2025-09,541220,0,3
Jammu & Kashmir,Jammu,2025-10,2167483,0,12
Jammu & Kashmir,Jammu,2025-11,2163603,2,11
Jammu & Kashmir,Jammu,2025-12,1625587,0,10
Jammu & Kashmir,Jammu,NaT,16255419,3,98
Jammu & Kashmir,Kargil,2025-02,194302,0,2
Jammu & Kashmir,Kargil,2025-06,388206,0,2
Jammu & Kashmir,Kargil,2025-08,388602,0,2
Jammu & Kashmir,Kargil,NaT,971510,0,5
Jammu & Kashmir,Kathua,2025-01,368402,0,2
Jammu & Kashmir,Kathua,2025-02,184148,0,1
Jammu & Kashmir,Kathua,2025-03,184101,0,2
Jammu & Kashmir,Kathua,2025-06,552303,0,3
Jammu & Kashmir,Kathua,2025-08,368202,0,2
Jammu & Kashmir,Kathua,2025-09,368249,0,2
Jammu & Kashmir,Kathua,2025-10,736490,0,4
Jammu & Kashmir,Kathua,2025-11,184151,1,0
Jammu & Kashmir,Kathua,2025-12,184141,0,1
Jammu & Kashmir,Kathua,NaT,3498172,2,28
Jammu & Kashmir,Kupwara,2025-01,193222,0,1
Jammu & Kashmir,Kupwara,2025-08,193302,0,1
Jammu & Kashmir,Kupwara,2025-09,193222,0,1
Jammu & Kashmir,Kupwara,2025-11,193224,0,1
Jammu & Kashmir,Kupwara,2025-12,193225,0,1
Jammu & Kashmir,Kupwara,NaT,386446,0,2
Jammu & Kashmir,Leh (Ladakh),2025-04,194401,0,1
Jammu & Kashmir,Leh (Ladakh),2025-06,388402,0,0
Jammu & Kashmir,Leh (Ladakh),NaT,1165211,4,2
Jammu & Kashmir,Pulwama,NaT,192121,0,1
Jammu & Kashmir,Punch,2025-11,370222,0,2
Jammu & Kashmir,Punch,NaT,555323,0,3
Jammu & Kashmir,Rajauri,2025-05,370406,0,2
Jammu & Kashmir,Rajauri,2025-06,185156,0,1
Jammu & Kashmir,Rajauri,2025-07,185151,0,1
Jammu & Kashmir,Rajauri,2025-08,370287,0,2
Jammu & Kashmir,Rajauri,2025-11,370308,0,2
Jammu & Kashmir,Rajauri,2025-12,185155,0,1
Jammu & Kashmir,Rajauri,NaT,1110969,0,6
Jammu & Kashmir,Srinagar,2025-07,190011,0,1
Jammu & Kashmir,Srinagar,2025-11,570015,0,3
Jammu & Kashmir,Srinagar,NaT,1140025,0,6
Jammu & Kashmir,Udhampur,2025-04,368410,0,2
Jammu & Kashmir,Udhampur,NaT,182320,0,1
Jammu And Kashmir,Anantnag,2025-01,13645103,2755,15539
Jammu And Kashmir,Anantnag,2025-02,8264307,87,436
Jammu And Kashmir,Anantnag,2025-03,7110997,72,455
Jammu And Kashmir,Anantnag,2025-04,8840907,87,658
Jammu And Kashmir,Anantnag,2025-05,6918383,78,376
Jammu And Kashmir,Anantnag,2025-06,9609059,111,652
Jammu And Kashmir,Anantnag,2025-07,4996723,55,274
Jammu And Kashmir,Anantnag,2025-08,11147100,170,830
Jammu And Kashmir,Anantnag,2025-09,8264498,76,460
Jammu And Kashmir,Anantnag,2025-10,8264094,101,615
Jammu And Kashmir,Anantnag,2025-11,8840441,107,588
Jammu And Kashmir,Anantnag,2025-12,7879321,76,706
Jammu And Kashmir,Anantnag,NaT,144142392,1471,8720
Jammu And Kashmir,Badgam,2025-01,4980597,342,4127
Jammu And Kashmir,Badgam,2025-02,4027039,19,233
Jammu And Kashmir,Badgam,2025-03,3444529,15,187
Jammu And Kashmir,Badgam,2025-04,5936978,23,406
Jammu And Kashmir,Badgam,2025-05,3257877,12,165
Jammu And Kashmir,Badgam,2025-06,7271658,37,422
Jammu And Kashmir,Badgam,2025-07,3453624,11,126
Jammu And Kashmir,Badgam,2025-08,6900352,36,501
Jammu And Kashmir,Badgam,2025-09,3638944,14,178
Jammu And Kashmir,Badgam,2025-10,4596986,21,256
Jammu And Kashmir,Badgam,2025-11,4216947,24,279
Jammu And Kashmir,Badgam,2025-12,5162559,23,267
Jammu And Kashmir,Badgam,NaT,72247145,315,4075
Jammu And Kashmir,Bandipore,2025-01,3869663,1346,7496
Jammu And Kashmir,Bandipore,2025-02,3094894,72,257
Jammu And Kashmir,Bandipore,2025-03,2127763,47,211
Jammu And Kashmir,Bandipore,2025-04,3481901,56,256
Jammu And Kashmir,Bandipore,2025-05,2708269,60,176
Jammu And Kashmir,Bandipore,2025-06,3868524,107,347
Jammu And Kashmir,Bandipore,2025-07,1934257,23,88
Jammu And Kashmir,Bandipore,2025-08,3094515,70,326
Jammu And Kashmir,Bandipore,2025-09,2128531,33,189
Jammu And Kashmir,Bandipore,2025-10,2709032,35,269
Jammu And Kashmir,Bandipore,2025-11,1935028,35,157
Jammu And Kashmir,Bandipore,2025-12,2901772,46,267
Jammu And Kashmir,Bandipore,NaT,44496402,670,3255
Jammu And Kashmir,Bandipur,2025-01,193504,0,1
Jammu And Kashmir,Baramula,2025-01,14877470,2707,16417
Jammu And Kashmir,Baramula,2025-02,11593831,95,564
Jammu And Kashmir,Baramula,2025-03,9081697,111,712
Jammu And Kashmir,Baramula,2025-04,10627919,145,767
Jammu And Kashmir,Baramula,2025-05,8309197,89,411
Jammu And Kashmir,Baramula,2025-06,10241709,127,796
Jammu And Kashmir,Baramula,2025-07,6763591,61,280
Jammu And Kashmir,Baramula,2025-08,11014199,145,770
Jammu And Kashmir,Baramula,2025-09,9082028,89,519
Jammu And Kashmir,Baramula,2025-10,10239331,88,621
Jammu And Kashmir,Baramula,2025-11,9274005,80,534
Jammu And Kashmir,Baramula,2025-12,8695436,102,476
Jammu And Kashmir,Baramula,NaT,148009057,1311,8673
Jammu And Kashmir,Budgam,2025-01,8054185,4318,10126
Jammu And Kashmir,Budgam,2025-02,4409267,63,126
Jammu And Kashmir,Budgam,2025-03,4791122,57,90
Jammu And Kashmir,Budgam,2025-04,4407254,67,102
Jammu And Kashmir,Budgam,2025-05,2301156,35,98
Jammu And Kashmir,Budgam,2025-06,4605907,82,135
Jammu And Kashmir,Budgam,2025-07,1726996,17,34
Jammu And Kashmir,Budgam,2025-08,4600096,97,160
Jammu And Kashmir,Budgam,2025-09,3260400,52,114
Jammu And Kashmir,Budgam,2025-10,4984550,64,139
Jammu And Kashmir,Budgam,2025-11,3451331,51,104
Jammu And Kashmir,Budgam,2025-12,3837236,51,102
Jammu And Kashmir,Budgam,NaT,63637461,784,1554
Jammu And Kashmir,Doda,2025-01,7833632,425,3493
Jammu And Kashmir,Doda,2025-02,4554430,17,131
Jammu And Kashmir,Doda,2025-03,4008078,13,195
Jammu And Kashmir,Doda,2025-04,8926982,34,338
Jammu And Kashmir,Doda,2025-05,6376290,23,221
Jammu And Kashmir,Doda,2025-06,6194034,45,346
Jammu And Kashmir,Doda,2025-07,4372455,18,133
Jammu And Kashmir,Doda,2025-08,9290945,55,429
Jammu And Kashmir,Doda,2025-09,4736563,14,216
Jammu And Kashmir,Doda,2025-10,7469375,29,239
Jammu And Kashmir,Doda,2025-11,6193978,26,215
Jammu And Kashmir,Doda,2025-12,6194183,12,255
Jammu And Kashmir,Doda,NaT,114048775,398,4052
Jammu And Kashmir,Ganderbal,2025-01,3633549,435,2880
Jammu And Kashmir,Ganderbal,2025-02,3059960,24,196
Jammu And Kashmir,Ganderbal,2025-03,2295296,19,89
Jammu And Kashmir,Ganderbal,2025-04,2485231,27,150
Jammu And Kashmir,Ganderbal,2025-05,2481892,21,118
Jammu And Kashmir,Ganderbal,2025-06,2686926,23,185
Jammu And Kashmir,Ganderbal,2025-07,2296420,16,115
Jammu And Kashmir,Ganderbal,2025-08,3063529,50,229
Jammu And Kashmir,Ganderbal,2025-09,2294118,23,159
Jammu And Kashmir,Ganderbal,2025-10,3447021,21,142
Jammu And Kashmir,Ganderbal,2025-11,2492368,15,115
Jammu And Kashmir,Ganderbal,2025-12,2871132,22,135
Jammu And Kashmir,Ganderbal,NaT,46321565,338,1982
Jammu And Kashmir,Jammu,2025-01,26784587,1079,11608
Jammu And Kashmir,Jammu,2025-02,21524841,48,739
Jammu And Kashmir,Jammu,2025-03,20284757,43,595
Jammu And Kashmir,Jammu,2025-04,24443220,81,857
Jammu And Kashmir,Jammu,2025-05,17752054,26,475
Jammu And Kashmir,Jammu,2025-06,23894821,67,958
Jammu And Kashmir,Jammu,2025-07,14818987,32,428
Jammu And Kashmir,Jammu,2025-08,25888223,75,1063
Jammu And Kashmir,Jammu,2025-09,18455273,48,769
Jammu And Kashmir,Jammu,2025-10,25694607,79,1133
Jammu And Kashmir,Jammu,2025-11,19368530,40,747
Jammu And Kashmir,Jammu,2025-12,24615563,58,881
Jammu And Kashmir,Jammu,NaT,347689939,804,12190
Jammu And Kashmir,Kargil,2025-01,3494487,101,384
Jammu And Kashmir,Kargil,2025-02,3689470,16,34
Jammu And Kashmir,Kargil,2025-03,1747721,7,31
Jammu And Kashmir,Kargil,2025-04,4466678,22,65
Jammu And Kashmir,Kargil,2025-05,3301442,19,43
Jammu And Kashmir,Kargil,2025-06,3301166,18,50
Jammu And Kashmir,Kargil,2025-07,1164821,7,12
Jammu And Kashmir,Kargil,2025-08,3689484,15,60
Jammu And Kashmir,Kargil,2025-09,3495565,14,51
Jammu And Kashmir,Kargil,2025-10,4854490,16,77
Jammu And Kashmir,Kargil,2025-11,3107170,18,56
Jammu And Kashmir,Kargil,2025-12,4660872,29,73
Jammu And Kashmir,Kargil,NaT,53402016,226,601
Jammu And Kashmir,Kathua,2025-01,13257671,875,8680
Jammu And Kashmir,Kathua,2025-02,9207872,20,251
Jammu And Kashmir,Kathua,2025-03,8471307,23,285
Jammu And Kashmir,Kathua,2025-04,10497206,56,432
Jammu And Kashmir,Kathua,2025-05,7550737,36,212
Jammu And Kashmir,Kathua,2025-06,11233748,48,455
Jammu And Kashmir,Kathua,2025-07,6075248,14,148
Jammu And Kashmir,Kathua,2025-08,13075097,44,629
Jammu And Kashmir,Kathua,2025-09,6998250,25,333
Jammu And Kashmir,Kathua,2025-10,9944737,57,439
Jammu And Kashmir,Kathua,2025-11,7918786,27,322
Jammu And Kashmir,Kathua,2025-12,9944532,49,435
Jammu And Kashmir,Kathua,NaT,154136740,498,6037
Jammu And Kashmir,Kishtwar,2025-01,3461877,614,2572
Jammu And Kashmir,Kishtwar,2025-02,1457856,9,59
Jammu And Kashmir,Kishtwar,2025-03,911019,7,60
Jammu And Kashmir,Kishtwar,2025-04,1822039,12,95
Jammu And Kashmir,Kishtwar,2025-05,1457743,13,62
Jammu And Kashmir,Kishtwar,2025-06,2186448,19,138
Jammu And Kashmir,Kishtwar,2025-07,1457633,13,51
Jammu And Kashmir,Kishtwar,2025-08,1639838,15,125
Jammu And Kashmir,Kishtwar,2025-09,1822043,13,104
Jammu And Kashmir,Kishtwar,2025-10,2004243,13,88
Jammu And Kashmir,Kishtwar,2025-11,1639837,8,93
Jammu And Kashmir,Kishtwar,2025-12,1822040,10,69
Jammu And Kashmir,Kishtwar,NaT,25326809,221,1385
Jammu And Kashmir,Kulgam,2025-01,2883190,1386,6457
Jammu And Kashmir,Kulgam,2025-02,1922045,46,211
Jammu And Kashmir,Kulgam,2025-03,1153129,24,134
Jammu And Kashmir,Kulgam,2025-04,2691070,48,167
Jammu And Kashmir,Kulgam,2025-05,1729923,24,72
Jammu And Kashmir,Kulgam,2025-06,2306737,60,210
Jammu And Kashmir,Kulgam,2025-07,768904,6,33
Jammu And Kashmir,Kulgam,2025-08,2306737,48,202
Jammu And Kashmir,Kulgam,2025-09,1345459,38,114
Jammu And Kashmir,Kulgam,2025-10,2498741,48,192
Jammu And Kashmir,Kulgam,2025-11,960899,12,41
Jammu And Kashmir,Kulgam,2025-12,1537831,20,112
Jammu And Kashmir,Kulgam,NaT,31715512,569,2133
Jammu And Kashmir,Kupwara,2025-01,8115766,5185,25375
Jammu And Kashmir,Kupwara,2025-02,3478416,92,387
Jammu And Kashmir,Kupwara,2025-03,4058396,131,418
Jammu And Kashmir,Kupwara,2025-04,4251541,114,436
Jammu And Kashmir,Kupwara,2025-05,3671477,95,357
Jammu And Kashmir,Kupwara,2025-06,5217582,145,621
Jammu And Kashmir,Kupwara,2025-07,3091882,53,223
Jammu And Kashmir,Kupwara,2025-08,4637750,175,700
Jammu And Kashmir,Kupwara,2025-09,3671627,101,450
Jammu And Kashmir,Kupwara,2025-10,3671948,62,349
Jammu And Kashmir,Kupwara,2025-11,3091806,79,397
Jammu And Kashmir,Kupwara,2025-12,4831211,97,442
Jammu And Kashmir,Kupwara,NaT,64155974,1411,7235
Jammu And Kashmir,Leh,2025-01,2523749,73,314
Jammu And Kashmir,Leh,2025-02,3302231,15,51
Jammu And Kashmir,Leh,2025-03,2135829,5,30
Jammu And Kashmir,Leh,2025-04,2912847,13,40
Jammu And Kashmir,Leh,2025-05,1748127,4,12
Jammu And Kashmir,Leh,2025-06,2330716,10,27
Jammu And Kashmir,Leh,2025-07,1165221,6,8
Jammu And Kashmir,Leh,2025-08,3107226,20,36
Jammu And Kashmir,Leh,2025-09,1747517,2,17
Jammu And Kashmir,Leh,2025-10,1942621,4,28
Jammu And Kashmir,Leh,2025-11,2136229,5,29
Jammu And Kashmir,Leh,2025-12,3106642,10,63
Jammu And Kashmir,Leh,NaT,37094253,124,481
Jammu And Kashmir,Poonch,NaT,555343,0,3
Jammu And Kashmir,Pulwama,2025-01,8839089,1953,10676
Jammu And Kashmir,Pulwama,2025-02,5952565,57,296
